LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-12,101.3749,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-01,101.5217,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-02,101.7839,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-03,101.9987,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-04,101.8949,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-05,101.7525,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-06,101.6099,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-07,101.5182,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-08,101.5495,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-09,101.6418,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-10,101.6573,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-11,101.5598,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-12,101.3309,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-01,101.1358,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-02,101.0134,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-03,100.8251,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-04,100.6013,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-05,100.3937,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-06,100.1176,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-07,99.91658,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-08,99.74365,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-09,99.5175,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-10,99.29535,
USA,BCI,AMPLITUD,LTRENDIDX,M,2022-11,99.13,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2020-12,98.49242,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-01,98.45616,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-02,99.56746,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-03,101.3763,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-04,102.8067,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-05,103.9522,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-06,104.6297,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-07,104.9206,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-08,104.8265,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-09,104.8803,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-10,105.16,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-11,105.4471,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2021-12,105.4252,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-01,105.1519,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-02,104.7852,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-03,104.4159,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-04,104.0194,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-05,103.7845,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-06,103.0474,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-07,102.0395,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-08,100.9903,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-09,100.5903,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-10,100.919,
GBR,BCI,AMPLITUD,LTRENDIDX,M,2022-11,95.87305,
