Date,Name,Symbol,Closing Price
1/1/21,Ethereum,eth,738.6169382
1/2/21,Ethereum,eth,730.1473402
1/3/21,Ethereum,eth,777.6960653
1/4/21,Ethereum,eth,967.0005967
1/5/21,Ethereum,eth,1025.654768
1/6/21,Ethereum,eth,1103.358252
1/7/21,Ethereum,eth,1208.575093
1/8/21,Ethereum,eth,1229.471315
1/9/21,Ethereum,eth,1223.729688
1/10/21,Ethereum,eth,1282.979576
1/11/21,Ethereum,eth,1267.731003
1/12/21,Ethereum,eth,1092.914338
1/13/21,Ethereum,eth,1045.406815
1/14/21,Ethereum,eth,1132.015591
1/15/21,Ethereum,eth,1216.914788
1/16/21,Ethereum,eth,1171.860018
1/17/21,Ethereum,eth,1234.63187
1/18/21,Ethereum,eth,1229.379698
1/19/21,Ethereum,eth,1255.976692
1/20/21,Ethereum,eth,1383.48409
1/21/21,Ethereum,eth,1385.852996
1/22/21,Ethereum,eth,1122.912433
1/23/21,Ethereum,eth,1236.683443
1/24/21,Ethereum,eth,1231.17638
1/25/21,Ethereum,eth,1392.539763
1/26/21,Ethereum,eth,1323.429503
1/27/21,Ethereum,eth,1355.233724
1/28/21,Ethereum,eth,1253.141672
1/29/21,Ethereum,eth,1328.773619
1/30/21,Ethereum,eth,1380.284259
1/31/21,Ethereum,eth,1372.427229
2/1/21,Ethereum,eth,1317.047436
2/2/21,Ethereum,eth,1368.664455
2/3/21,Ethereum,eth,1514.225196
2/4/21,Ethereum,eth,1661.000824
2/5/21,Ethereum,eth,1587.800899
2/6/21,Ethereum,eth,1724.856908
2/7/21,Ethereum,eth,1683.941298
2/8/21,Ethereum,eth,1608.640548
2/9/21,Ethereum,eth,1750.997554
2/10/21,Ethereum,eth,1769.053534
2/11/21,Ethereum,eth,1739.164209
2/12/21,Ethereum,eth,1782.508869
2/13/21,Ethereum,eth,1841.197751
2/14/21,Ethereum,eth,1810.842546
2/15/21,Ethereum,eth,1804.984146
2/16/21,Ethereum,eth,1775.758352
2/17/21,Ethereum,eth,1782.575309
2/18/21,Ethereum,eth,1845.573922
2/19/21,Ethereum,eth,1938.569437
2/20/21,Ethereum,eth,1969.979718
2/21/21,Ethereum,eth,1929.367693
2/22/21,Ethereum,eth,1941.426768
2/23/21,Ethereum,eth,1788.61521
2/24/21,Ethereum,eth,1563.924606
2/25/21,Ethereum,eth,1628.391534
2/26/21,Ethereum,eth,1468.860104
2/27/21,Ethereum,eth,1450.988747
2/28/21,Ethereum,eth,1480.129577
3/1/21,Ethereum,eth,1416.661553
3/2/21,Ethereum,eth,1570.39969
3/3/21,Ethereum,eth,1497.089104
3/4/21,Ethereum,eth,1579.427169
3/5/21,Ethereum,eth,1546.499621
3/6/21,Ethereum,eth,1539.048429
3/7/21,Ethereum,eth,1661.92797
3/8/21,Ethereum,eth,1727.463096
3/9/21,Ethereum,eth,1837.533031
3/10/21,Ethereum,eth,1869.331102
3/11/21,Ethereum,eth,1802.311092
3/12/21,Ethereum,eth,1826.057477
3/13/21,Ethereum,eth,1770.936179
3/14/21,Ethereum,eth,1927.72072
3/15/21,Ethereum,eth,1866.071545
3/16/21,Ethereum,eth,1791.047852
3/17/21,Ethereum,eth,1808.551217
3/18/21,Ethereum,eth,1828.754833
3/19/21,Ethereum,eth,1780.159646
3/20/21,Ethereum,eth,1817.132963
3/21/21,Ethereum,eth,1817.860143
3/22/21,Ethereum,eth,1790.378075
3/23/21,Ethereum,eth,1686.891197
3/24/21,Ethereum,eth,1673.859184
3/25/21,Ethereum,eth,1581.631056
3/26/21,Ethereum,eth,1587.297964
3/27/21,Ethereum,eth,1700.366869
3/28/21,Ethereum,eth,1713.837876
3/29/21,Ethereum,eth,1689.036798
3/30/21,Ethereum,eth,1817.626388
3/31/21,Ethereum,eth,1840.294952
4/1/21,Ethereum,eth,1915.832536
4/2/21,Ethereum,eth,1970.4712
4/3/21,Ethereum,eth,2134.101788
4/4/21,Ethereum,eth,2016.667247
4/5/21,Ethereum,eth,2077.755212
4/6/21,Ethereum,eth,2097.796383
4/7/21,Ethereum,eth,2115.055452
4/8/21,Ethereum,eth,1989.148062
4/9/21,Ethereum,eth,2081.354063
4/10/21,Ethereum,eth,2069.667796
4/11/21,Ethereum,eth,2142.796065
4/12/21,Ethereum,eth,2150.265143
4/13/21,Ethereum,eth,2142.476276
4/14/21,Ethereum,eth,2304.343516
4/15/21,Ethereum,eth,2429.661528
4/16/21,Ethereum,eth,2514.168416
4/17/21,Ethereum,eth,2424.553845
4/18/21,Ethereum,eth,2345.266963
4/19/21,Ethereum,eth,2245.760753
4/20/21,Ethereum,eth,2168.032727
4/21/21,Ethereum,eth,2324.284687
4/22/21,Ethereum,eth,2373.501344
4/23/21,Ethereum,eth,2426.07115
4/24/21,Ethereum,eth,2364.231204
4/25/21,Ethereum,eth,2212.843798
4/26/21,Ethereum,eth,2307.355321
4/27/21,Ethereum,eth,2532.386803
4/28/21,Ethereum,eth,2647.15819
4/29/21,Ethereum,eth,2748.784585
4/30/21,Ethereum,eth,2757.497552
5/1/21,Ethereum,eth,2776.703712
5/2/21,Ethereum,eth,2944.916947
5/3/21,Ethereum,eth,2953.297348
5/4/21,Ethereum,eth,3439.85507
5/5/21,Ethereum,eth,3245.663149
5/6/21,Ethereum,eth,3524.562728
5/7/21,Ethereum,eth,3495.075869
5/8/21,Ethereum,eth,3493.5345
5/9/21,Ethereum,eth,3912.742917
5/10/21,Ethereum,eth,3932.754068
5/11/21,Ethereum,eth,3979.608652
5/12/21,Ethereum,eth,4182.790286
5/13/21,Ethereum,eth,3906.108903
5/14/21,Ethereum,eth,3750.341595
5/15/21,Ethereum,eth,4088.731708
5/16/21,Ethereum,eth,3659.921844
5/17/21,Ethereum,eth,3602.004897
5/18/21,Ethereum,eth,3288.229887
5/19/21,Ethereum,eth,3399.04928
5/20/21,Ethereum,eth,2505.014946
5/21/21,Ethereum,eth,2778.279661
5/22/21,Ethereum,eth,2419.103217
5/23/21,Ethereum,eth,2306.371267
5/24/21,Ethereum,eth,2120.037375
5/25/21,Ethereum,eth,2640.159632
5/26/21,Ethereum,eth,2695.477807
5/27/21,Ethereum,eth,2882.483408
5/28/21,Ethereum,eth,2742.990863
5/29/21,Ethereum,eth,2433.328866
5/30/21,Ethereum,eth,2294.626286
5/31/21,Ethereum,eth,2395.853228
6/1/21,Ethereum,eth,2708.429866
6/2/21,Ethereum,eth,2632.6566
6/3/21,Ethereum,eth,2717.154037
6/4/21,Ethereum,eth,2858.276702
6/5/21,Ethereum,eth,2694.497667
6/6/21,Ethereum,eth,2624.768915
6/7/21,Ethereum,eth,2711.547939
6/8/21,Ethereum,eth,2580.53558
6/9/21,Ethereum,eth,2528.022301
6/10/21,Ethereum,eth,2620.625389
6/11/21,Ethereum,eth,2486.600069
6/12/21,Ethereum,eth,2356.634774
6/13/21,Ethereum,eth,2379.991748
6/14/21,Ethereum,eth,2517.771696
6/15/21,Ethereum,eth,2587.381611
6/16/21,Ethereum,eth,2561.188331
6/17/21,Ethereum,eth,2365.872786
6/18/21,Ethereum,eth,2380.74452
6/19/21,Ethereum,eth,2231.554315
6/20/21,Ethereum,eth,2176.308536
6/21/21,Ethereum,eth,2251.560559
6/22/21,Ethereum,eth,1900.1223
6/23/21,Ethereum,eth,1875.357694
6/24/21,Ethereum,eth,1971.105978
6/25/21,Ethereum,eth,1990.076151
6/26/21,Ethereum,eth,1833.463161
6/27/21,Ethereum,eth,1817.047666
6/28/21,Ethereum,eth,1973.926865
6/29/21,Ethereum,eth,2087.518724
6/30/21,Ethereum,eth,2169.400068
7/1/21,Ethereum,eth,2279.354161
7/2/21,Ethereum,eth,2121.657901
7/3/21,Ethereum,eth,2157.880585
7/4/21,Ethereum,eth,2228.532399
7/5/21,Ethereum,eth,2329.004751
7/6/21,Ethereum,eth,2217.301853
7/7/21,Ethereum,eth,2320.654929
7/8/21,Ethereum,eth,2317.236943
7/9/21,Ethereum,eth,2126.442467
7/10/21,Ethereum,eth,2156.580957
7/11/21,Ethereum,eth,2123.058597
7/12/21,Ethereum,eth,2144.014257
7/13/21,Ethereum,eth,2042.499187
7/14/21,Ethereum,eth,1944.395017
7/15/21,Ethereum,eth,1997.663314
7/16/21,Ethereum,eth,1910.726952
7/17/21,Ethereum,eth,1874.20025
7/18/21,Ethereum,eth,1899.84275
7/19/21,Ethereum,eth,1905.723383
7/20/21,Ethereum,eth,1824.929392
7/21/21,Ethereum,eth,1794.973425
7/22/21,Ethereum,eth,2003.723921
7/23/21,Ethereum,eth,2027.533448
7/24/21,Ethereum,eth,2117.154608
7/25/21,Ethereum,eth,2183.627415
7/26/21,Ethereum,eth,2209.49936
7/27/21,Ethereum,eth,2230.212068
7/28/21,Ethereum,eth,2292.579637
7/29/21,Ethereum,eth,2299.689406
7/30/21,Ethereum,eth,2383.44326
7/31/21,Ethereum,eth,2462.399983
8/1/21,Ethereum,eth,2541.674599
8/2/21,Ethereum,eth,2555.408179
8/3/21,Ethereum,eth,2611.67307
8/4/21,Ethereum,eth,2521.268475
8/5/21,Ethereum,eth,2724.532243
8/6/21,Ethereum,eth,2821.649693
8/7/21,Ethereum,eth,2888.732274
8/8/21,Ethereum,eth,3151.217517
8/9/21,Ethereum,eth,3012.308559
8/10/21,Ethereum,eth,3163.064655
8/11/21,Ethereum,eth,3147.842995
8/12/21,Ethereum,eth,3166.647218
8/13/21,Ethereum,eth,3048.412682
8/14/21,Ethereum,eth,3323.197991
8/15/21,Ethereum,eth,3268.548177
8/16/21,Ethereum,eth,3309.75491
8/17/21,Ethereum,eth,3153.583684
8/18/21,Ethereum,eth,3007.144027
8/19/21,Ethereum,eth,3037.230251
8/20/21,Ethereum,eth,3144.818437
8/21/21,Ethereum,eth,3276.969837
8/22/21,Ethereum,eth,3224.00046
8/23/21,Ethereum,eth,3243.486358
8/24/21,Ethereum,eth,3320.40917
8/25/21,Ethereum,eth,3177.663796
8/26/21,Ethereum,eth,3231.441452
8/27/21,Ethereum,eth,3122.971797
8/28/21,Ethereum,eth,3267.539435
8/29/21,Ethereum,eth,3245.430222
8/30/21,Ethereum,eth,3233.383152
8/31/21,Ethereum,eth,3232.733863
9/1/21,Ethereum,eth,3440.562336
9/2/21,Ethereum,eth,3790.613996
9/3/21,Ethereum,eth,3793.300743
9/4/21,Ethereum,eth,3936.163392
